id,title,lead,bert_base_dutch_cased_finetuned_snli_label,bert_base_dutch_cased_finetuned_snli_positief,bert_base_dutch_cased_finetuned_snli_negatief,robbert_v2_dutch_finetuned_snli_label,robbert_v2_dutch_finetuned_snli_positief,robbert_v2_dutch_finetuned_snli_negatief,robbertje_dutch_finetuned_snli_label,robbertje_dutch_finetuned_snli_positief,robbertje_dutch_finetuned_snli_negatief,mDeBERTa_v3_base_mnli_xnli_label,mDeBERTa_v3_base_mnli_xnli_positief,mDeBERTa_v3_base_mnli_xnli_negatief
7,Nederlandse patiënt wacht te lang op betere medicijnen tegen kanker,"Wat een prachtig bericht onlangs, dat meer kankerpatiënten de afgelopen decennia bleven leven. Twee derde van de patiënten met de diagnose kanker leeft na vijf jaar nog. Een vooruitgang die volgens het Integraal Kankercentrum Nederland mede te danken is aan innovatieve geneesmiddelen tegen gevorderde en uitgezaaide kanker. Nog niet voor alle soorten, maar in ieder geval voor huid-, long-, prostaat-, bloed-, nier- en blaaskanker. Dat zijn in aantal niet de minste.",positief,0.6814031338947774,0.3185968661052227,positief,0.5613977820197309,0.4386022179802691,negatief,0.4859631794706065,0.5140368205293935,positief,0.659065012696581,0.3409349873034191
10,Nieuwe kankermedicijnen leveren meer financiële winst op dan gezondheidswinst,"Vorige week verscheen in Trouw een artikel met de prikkelende kop: 'Kankerpatiënt krijgt te laat toegang tot nieuwe medicijnen.' De auteur van dit opiniestuk, zelf sinds 2018 longkankerpatiënt, stelt dat het veel te lang duurt voordat kankermedicijnen beschikbaar komen in ons land.",positief,0.6473626142317915,0.3526373857682086,positief,0.5929875369705173,0.4070124630294827,positief,0.5229299917073599,0.47707000829264007,negatief,0.4368037579379646,0.5631962420620354
11,Hoe controleer je verstopte moedervlekken?,"Meer dan twintig jaar geleden ontdekte ze op haar buik een moedervlek die van kleur veranderde. Het bleek een melanoom, die bovendien was uitgezaaid naar de lymfeklieren. Artsen hebben alle kwaadaardige cellen weggehaald en de tumor is nooit meer teruggekomen. Toch zit de schrik er nog goed in en controleert ze elke dag haar lichaam op verdachte vlekjes. Alleen, zo vraagt deze lezer (61) zich af, hoe controleer je moedervlekken onder je haar?",positief,0.6469487823156495,0.35305121768435055,positief,0.5518294431115089,0.44817055688849106,negatief,0.3390095831292666,0.6609904168707333,negatief,0.466271195513609,0.5337288044863909
16,'Ik vind het erg als 'n infuus van 25.000 euro wordt weggegooid',"Waarom schrijven artsen 1005 milligram van een oncologisch middel voor, terwijl de verpakkingen per 100 milligram gaan? ,,Dan gooien we dus 95 procent weg. Dat zijn vaak dure medicijnen."" Eenmaal aan een patiënt gegeven middelen mogen na inlevering niet aan een andere patiënt worden gegeven.",positief,0.6444792941611062,0.3555207058388938,positief,0.5244005107210847,0.47559948927891527,negatief,0.4292365158672273,0.5707634841327728,negatief,0.320823026370568,0.6791769736294321
21,Wachtlijsten en personeelstekort: het 'zorginfarct' is er al lang; De zorg is nu zelf patiënt ; Zorg maar voor jezelf; De gezondheidszorg is overwerkt. Een rigoureuze omwenteling is nodig. Economie 12-13; De gezondheidszorg kan het vele werk niet meer aan. Er is op korte termijn een structurele omwenteling nodig.,"De gezondheidszorg is 'op', er zit geen rek meer in. 120.000 meer mensen dan voor corona wachten volgens toezichthouder NZa op een operatie. Er zijn 80.000 zorgmedewerkers te weinig. Afdelingen spoedeisende hulp sluiten soms een paar keer per dag hun deuren omdat ze vol liggen.",positief,0.6234052855994774,0.37659471440052267,positief,0.5034445557797971,0.4965554442202029,negatief,0.4393639917311713,0.5606360082688288,negatief,0.4026791464661745,0.5973208535338256
26,Tijd om te kiezen: dure behandelingen of voldoende zorg voor ouderen,"De gezondheidszorg kan de vraag niet meer aan. Dat bleek al tijdens de coronapandemie - waardoor de samenleving lange tijd stilgelegd moest worden. Sindsdien is het amper verbeterd. Er zijn simpelweg te veel patiënten en te weinig zorgverleners. Dat uit zich in wachtlijsten voor operaties, verpleeghuizen en psychiatrische hulp. Maar ook op minder zichtbare plekken: ouderen die alleen thuis wonen en niet de zorg, laat staan aandacht, krijgen die ze nodig hebben. De thuiszorg heeft te weinig personeel, waardoor verpleegkundigen en verzorgenden hun schaarse tijd nog strenger over de groeiende groep cliënten verdelen. Kinderen wonen veelal ver weg en kunnen niet vaak bijspringen. Hoogbejaarde patiënten liggen vaak veel te lang in het (dure) ziekenhuis omdat er thuis niemand is om voor hen te zorgen en het verpleeghuis vol zit.",positief,0.6782818278532272,0.3217181721467728,positief,0.6209880356877783,0.37901196431222167,negatief,0.4239314111439483,0.5760685888560517,positief,0.5825143542407619,0.417485645759238
28,Doorbraak,Vorige maand maakte de Amerikaanse fotograaf Spencer Tunick weer een aantal iconische foto's van 2500 naakte mensen op het strand van Sydney. Hij deed dit om aandacht te vragen voor huidkanker. Het aantal deelnemers staat symbool voor de ruim 2000 Australiërs die jaarlijks aan huidkanker sterven.,positief,0.7056371039477162,0.2943628960522838,positief,0.5617574861933065,0.4382425138066936,positief,0.6053348278369264,0.39466517216307356,positief,0.8013929818297085,0.19860701817029155
30,'Toen gooiden we onze agenda's om'," 'Je eigen immuunsysteem helpen tumoren te herkennen en uitschakelen: dat is in feite wat immuuntherapie doet. 
Het werkt langdurig tegen kanker, doordat je immuunsysteem de kanker leert herkennen en opruimen. Bovendien 
heeft het minder bijwerkingen dan chemotherapie, omdat je geen gezonde cellen doodt. Hierdoor heeft 
immuuntherapie een enorme vlucht genomen. ",positief,0.6558875045588144,0.3441124954411856,positief,0.6320324070059712,0.36796759299402887,positief,0.5448739221979962,0.4551260778020037,positief,0.7915182732060926,0.20848172679390742
35,Zinloze chemo's; Interview Patiënten krijgen vaak dure kankermedicijnen waar ze niets aan hebben,"Dit kán toch niet, denkt oncoloog Gabe Sonke vaak, wanneer hij bladert door de registratie-aanvragen voor nieuwe kankergeneesmiddelen van het Europese medicijnagentschap EMA. De opzet van de studies naar nieuwe kankermedicijnen die farmaceutische bedrijven aanleveren rammelt vaak en is gericht op maximale winst. Toch worden de zo onderzochte middelen meestal goedgekeurd: als de meerderheid van de 28 lidstaten akkoord gaat, komt het middel op de markt.",positief,0.5209445939717318,0.4790554060282682,negatief,0.4971596428042519,0.5028403571957482,negatief,0.43465096055203284,0.5653490394479671,negatief,0.4883519419795144,0.5116480580204855
37,Wetenschappers: nieuwe stap tegen kanker,Wetenschappers van het Leids Universitair Medisch Centrum (LUMC) en ziekenhuis Antoni van Leeuwenhoek in Amsterdam denken een nieuwe stap te kunnen zetten in de strijd tegen kanker. Ze hebben ontdekt hoe sommige immuuncellen in staat zijn tot het opsporen en verwijderen van tumoren die voor de gewone verdedigingsmechanismen van het menselijk immuunsysteem onzichtbaar zijn.,positief,0.7699338609484428,0.23006613905155712,positief,0.6656819843560622,0.3343180156439378,positief,0.6025931899043186,0.39740681009568135,positief,0.9631944403504192,0.0368055596495808
