id,title,lead,rob_p_pos,rob_p_neg,rob_label
7,Nederlandse patiënt wacht te lang op betere medicijnen tegen kanker,"Wat een prachtig bericht onlangs, dat meer kankerpatiënten de afgelopen decennia bleven leven. Twee derde van de patiënten met de diagnose kanker leeft na vijf jaar nog. Een vooruitgang die volgens het Integraal Kankercentrum Nederland mede te danken is aan innovatieve geneesmiddelen tegen gevorderde en uitgezaaide kanker. Nog niet voor alle soorten, maar in ieder geval voor huid-, long-, prostaat-, bloed-, nier- en blaaskanker. Dat zijn in aantal niet de minste.",0.411551056908431,0.588448943091569,negatief
10,Nieuwe kankermedicijnen leveren meer financiële winst op dan gezondheidswinst,"Vorige week verscheen in Trouw een artikel met de prikkelende kop: 'Kankerpatiënt krijgt te laat toegang tot nieuwe medicijnen.' De auteur van dit opiniestuk, zelf sinds 2018 longkankerpatiënt, stelt dat het veel te lang duurt voordat kankermedicijnen beschikbaar komen in ons land.",0.39156926822979476,0.6084307317702051,negatief
11,Hoe controleer je verstopte moedervlekken?,"Meer dan twintig jaar geleden ontdekte ze op haar buik een moedervlek die van kleur veranderde. Het bleek een melanoom, die bovendien was uitgezaaid naar de lymfeklieren. Artsen hebben alle kwaadaardige cellen weggehaald en de tumor is nooit meer teruggekomen. Toch zit de schrik er nog goed in en controleert ze elke dag haar lichaam op verdachte vlekjes. Alleen, zo vraagt deze lezer (61) zich af, hoe controleer je moedervlekken onder je haar?",0.6934253887686377,0.30657461123136237,positief
16,'Ik vind het erg als 'n infuus van 25.000 euro wordt weggegooid',"Waarom schrijven artsen 1005 milligram van een oncologisch middel voor, terwijl de verpakkingen per 100 milligram gaan? ,,Dan gooien we dus 95 procent weg. Dat zijn vaak dure medicijnen."" Eenmaal aan een patiënt gegeven middelen mogen na inlevering niet aan een andere patiënt worden gegeven.",0.33840950551748983,0.66159049448251,negatief
21,Wachtlijsten en personeelstekort: het 'zorginfarct' is er al lang; De zorg is nu zelf patiënt ; Zorg maar voor jezelf; De gezondheidszorg is overwerkt. Een rigoureuze omwenteling is nodig. Economie 12-13; De gezondheidszorg kan het vele werk niet meer aan. Er is op korte termijn een structurele omwenteling nodig.,"De gezondheidszorg is 'op', er zit geen rek meer in. 120.000 meer mensen dan voor corona wachten volgens toezichthouder NZa op een operatie. Er zijn 80.000 zorgmedewerkers te weinig. Afdelingen spoedeisende hulp sluiten soms een paar keer per dag hun deuren omdat ze vol liggen.",0.4947800693137789,0.5052199306862214,negatief
26,Tijd om te kiezen: dure behandelingen of voldoende zorg voor ouderen,"De gezondheidszorg kan de vraag niet meer aan. Dat bleek al tijdens de coronapandemie - waardoor de samenleving lange tijd stilgelegd moest worden. Sindsdien is het amper verbeterd. Er zijn simpelweg te veel patiënten en te weinig zorgverleners. Dat uit zich in wachtlijsten voor operaties, verpleeghuizen en psychiatrische hulp. Maar ook op minder zichtbare plekken: ouderen die alleen thuis wonen en niet de zorg, laat staan aandacht, krijgen die ze nodig hebben. De thuiszorg heeft te weinig personeel, waardoor verpleegkundigen en verzorgenden hun schaarse tijd nog strenger over de groeiende groep cliënten verdelen. Kinderen wonen veelal ver weg en kunnen niet vaak bijspringen. Hoogbejaarde patiënten liggen vaak veel te lang in het (dure) ziekenhuis omdat er thuis niemand is om voor hen te zorgen en het verpleeghuis vol zit.",0.22231690788918498,0.7776830921108149,negatief
28,Doorbraak,Vorige maand maakte de Amerikaanse fotograaf Spencer Tunick weer een aantal iconische foto's van 2500 naakte mensen op het strand van Sydney. Hij deed dit om aandacht te vragen voor huidkanker. Het aantal deelnemers staat symbool voor de ruim 2000 Australiërs die jaarlijks aan huidkanker sterven.,0.9937407729414409,0.0062592270585590274,positief
30,'Toen gooiden we onze agenda's om'," 'Je eigen immuunsysteem helpen tumoren te herkennen en uitschakelen: dat is in feite wat immuuntherapie doet. 
Het werkt langdurig tegen kanker, doordat je immuunsysteem de kanker leert herkennen en opruimen. Bovendien 
heeft het minder bijwerkingen dan chemotherapie, omdat je geen gezonde cellen doodt. Hierdoor heeft 
immuuntherapie een enorme vlucht genomen. ",0.8323443856797641,0.16765561432023582,positief
35,Zinloze chemo's; Interview Patiënten krijgen vaak dure kankermedicijnen waar ze niets aan hebben,"Dit kán toch niet, denkt oncoloog Gabe Sonke vaak, wanneer hij bladert door de registratie-aanvragen voor nieuwe kankergeneesmiddelen van het Europese medicijnagentschap EMA. De opzet van de studies naar nieuwe kankermedicijnen die farmaceutische bedrijven aanleveren rammelt vaak en is gericht op maximale winst. Toch worden de zo onderzochte middelen meestal goedgekeurd: als de meerderheid van de 28 lidstaten akkoord gaat, komt het middel op de markt.",0.29006671898629294,0.709933281013707,negatief
37,Wetenschappers: nieuwe stap tegen kanker,Wetenschappers van het Leids Universitair Medisch Centrum (LUMC) en ziekenhuis Antoni van Leeuwenhoek in Amsterdam denken een nieuwe stap te kunnen zetten in de strijd tegen kanker. Ze hebben ontdekt hoe sommige immuuncellen in staat zijn tot het opsporen en verwijderen van tumoren die voor de gewone verdedigingsmechanismen van het menselijk immuunsysteem onzichtbaar zijn.,0.9956628746116748,0.004337125388325235,positief
39,Het dna van de tumor in kaart,"De patiënt heeft uitzaaiingen en is uitbehandeld, de tumor zit in haar linkerborst en bevat 171 dna-afwijkingen. Daaronder twee driver-mutaties, die de cellen zo hebben laten ontsporen dat er kanker is ontstaan. Twee doelgerichte behandelingen komen in aanmerking, er zijn zes experimentele onderzoeken waaraan de patiënt mee kan doen.",0.20492485949486375,0.7950751405051364,negatief
45,Heeft internist Blank de weg naar kankervrij leven gevonden?,"Al vijftien jaar werkt Christian Blank aan betere immuunbehandelingen voor patiënten met uitgezaaide melanomen, een agressieve vorm van huidkanker. De van oorsprong Duitse internist doet dat in het in kanker gespecialiseerde ziekenhuis en onderzoeksinstituut Antoni van Leeuwenhoek in Amsterdam. Waar chemotherapie de kankercellen doodt, zorgt immuuntherapie ervoor dat onze afweer de foute cellen herkent en verwijdert.",0.9268281375626397,0.07317186243736026,positief
54,Steeds meer kinderen overleven kanker,"Meer kinderen en tieners blijven leven nadat ze kanker krijgen. De overlevingskans na vijf jaar steeg naar 83 procent. ,,De behandelingen worden beter.''",0.998071340673532,0.0019286593264680489,positief
55,Anne (12) wil later zelf ook zieke kinderen helpen,"De 12-jarige Anne Hoffer is net thuis na een verblijf van driekwart jaar in het Prinses Máxima Centrum voor kinderoncologie. Ze werd er behandeld voor botkanker, kreeg veertien kuren en dertig bestralingen. Het gaat inmiddels beter. Haar behandeling zit erop en ze durft weer naar de toekomst te kijken. Haar droom om gymlerares te worden heeft plaatsgemaakt voor een baan als dokter of verpleegster in het Utrechtse kinderkankercentrum. ,,Dan kan ik andere kinderen helpen.""",0.9804042644678082,0.019595735532191922,positief
63, Langer lijden of waardig sterven?, Sterven hoeft geen eindeloze strijd te zijn. De laatste fase kan ook mooi en bijzonder zijn,0.9843788418995137,0.015621158100486114,positief
66,'Mijn belangrijkste vraag: wat wil je echt?',"Vraag aan iemand wat palliatieve zorg is en negen van de tien mensen, als het begrip ze überhaupt iets zegt, zullen antwoorden dat het gaat om zorg in de laatste fase van iemands leven. De laatste weken, misschien in een hospice of zo. Het is zorg die gegeven wordt als iemand 'uitbehandeld' is. Als de artsen hebben gezegd: 'We kunnen niets meer voor u doen.'",0.8195283323061809,0.18047166769381928,positief
